aceleracaoMinima,audioMinimo,aceleracaoMaxima,audioMaximo,aceleracaoMedia,audioMedio,aceleracaoVariancia,audioVariancia,aceleracaoRMS,audioRMS,aceleracaoMaxFreAmp1,aceleracaoMaxFreAmp2,aceleracaoMaxFreAmp3,aceleracaoMaxFreAmp4,aceleracaoMaxFreAmp5,aceleracaoMaxFre1,aceleracaoMaxFre2,aceleracaoMaxFre3,aceleracaoMaxFre4,aceleracaoMaxFre5,audioMaxFreAmp1,audioMaxFreAmp2,audioMaxFreAmp3,audioMaxFreAmp4,audioMaxFreAmp5,audioMaxFre1,audioMaxFre2,audioMaxFre3,audioMaxFre4,audioMaxFre5,temperaturaFerramenta,experimento
-122.9426,-266.1327,174.1253,260.5163,5.7730012,-12.27278,56.779483,133.91853,56.920972,134.12266,35.102522,26.506656,25.919122,24.300154,24.234642,4301.0753,5913.9785,6989.2473,7526.8817,8602.1505,114.85877,107.43558,75.3387,42.797432,25.946648,537.63441,1075.2688,1612.9032,2150.5376,2688.172,31.37,f010 ap030 ac
-119.1047,-427.0484,133.2259,363.2436,-3.0996474,24.912086,48.438045,168.68591,48.407699,170.06876,28.39664,26.95087,23.682865,22.899571,20.640304,537.63441,2688.172,4838.7097,5913.9785,6451.6129,134.45006,133.31502,120.97317,50.214172,33.651133,1075.2688,1612.9032,2150.5376,4838.7097,7526.8817,30.96,f010 ap030 ac
-120.2787,-375.6536,156.9386,363.2436,-9.2936557,18.937857,59.167049,198.64421,59.736013,199.01545,42.853956,25.523832,24.572623,23.523086,21.53547,1612.9032,3225.8065,5913.9785,7526.8817,8064.5161,201.21496,152.90279,77.688074,48.051409,42.078183,537.63441,1075.2688,1612.9032,2688.172,7526.8817,31.16,f010 ap030 ac
-124.6794,-256.5299,98.80036,338.6621,-18.915717,-7.2578353,53.41394,168.08646,56.529606,167.79347,31.117324,30.385491,26.025536,20.724352,20.464857,1612.9032,5376.3441,5913.9785,6989.2473,8064.5161,195.10912,80.378946,56.129781,43.596213,37.722455,537.63441,1075.2688,1612.9032,2150.5376,2688.172,31.46,f010 ap030 ac
-134.7379,-211.9288,93.39345,322.4468,-24.268045,13.828268,49.914446,125.28083,55.381104,125.7083,29.006566,24.398518,24.346689,22.990592,20.649371,0,1075.2688,5376.3441,5913.9785,6451.6129,98.237952,95.484961,66.054016,44.002721,37.990406,1075.2688,1612.9032,2150.5376,2688.172,3225.8065,31.07,f010 ap030 ac
-133.4926,-362.8336,131.672,404.5058,-17.799558,4.5874476,53.442068,150.31569,56.192578,149.98341,32.620705,29.422819,25.026985,24.174749,23.829602,2150.5376,5376.3441,6989.2473,7526.8817,8064.5161,134.43878,117.74497,60.023785,48.857547,44.39688,537.63441,1075.2688,1612.9032,2150.5376,8064.5161,30.88,f010 ap030 ac
-157.2846,-362.8336,131.672,365.6161,-21.556847,-34.760637,56.673359,181.74894,60.492904,184.56525,32.766206,29.145287,26.588986,25.971341,23.022803,2150.5376,3225.8065,5913.9785,8064.5161,8602.1505,189.66476,107.84841,85.481422,62.469281,48.621249,1075.2688,1612.9032,2150.5376,2688.172,3225.8065,30.99,f010 ap030 ac
-187.8804,-335.9881,110.9278,156.4428,-11.873781,-34.85425,55.201232,79.25061,56.319336,86.382241,28.561688,28.01976,26.228253,24.937147,24.87669,4838.7097,5376.3441,6989.2473,7526.8817,8064.5161,47.140321,43.644963,35.041638,34.77287,30.513569,0,537.63441,1612.9032,2150.5376,3225.8065,31.1,f010 ap030 ac
-187.8804,-273.0992,139.5008,286.4393,-11.007539,-1.380259,68.727007,130.12152,69.42124,129.78047,55.533912,42.09596,30.779181,27.402268,25.30841,2688.172,4301.0753,4838.7097,5376.3441,8064.5161,96.378062,90.232641,72.386899,52.97905,42.237096,537.63441,1075.2688,1612.9032,2150.5376,3225.8065,31.06,f010 ap030 ac
-163.42,-273.0337,143.5005,502.6704,-0.8937502,17.504972,63.442709,189.95572,63.27916,190.25415,40.953998,29.071111,28.925134,25.484422,25.249294,537.63441,1075.2688,5913.9785,6989.2473,7526.8817,177.36445,121.70948,119.62715,68.457073,37.435895,537.63441,1075.2688,1612.9032,2150.5376,8064.5161,30.99,f010 ap030 ac
-106.2644,-171.3683,143.5005,242.2219,2.7196672,-21.242609,51.515839,81.907864,51.449844,84.405392,30.537511,27.721273,24.576558,23.317368,22.901314,1612.9032,4301.0753,5913.9785,6989.2473,8064.5161,65.580476,54.142662,45.158359,28.117602,24.68279,537.63441,1075.2688,1612.9032,3225.8065,4838.7097,31.43,f010 ap030 ac
-127.0726,-262.6898,126.939,362.6269,2.4455693,8.0066722,56.986122,162.00302,56.886141,161.76754,37.478776,35.801795,28.468287,23.090144,20.461131,1075.2688,4838.7097,5376.3441,6989.2473,7526.8817,169.2259,123.91438,53.269163,41.180909,32.201473,537.63441,1075.2688,1612.9032,2688.172,3763.4409,31.27,f010 ap030 ac
-104.0815,-358.3153,214.8093,394.478,15.992846,15.264273,56.108959,210.39172,58.199236,210.3829,33.387871,30.188764,25.529479,25.44725,22.419436,1612.9032,4301.0753,5913.9785,6451.6129,8064.5161,279.52094,55.325874,49.95134,42.20007,30.140339,537.63441,1075.2688,1612.9032,2150.5376,2688.172,31.44,f010 ap030 ac
-113.8003,-427.4157,176.3806,408.1372,29.9613,3.9422053,62.222461,238.53635,68.91016,237.93035,40.346764,38.817204,33.131833,30.122383,28.838545,0,4838.7097,5376.3441,5913.9785,8064.5161,286.01131,104.51233,89.150684,56.986483,54.675553,1075.2688,1612.9032,2150.5376,3225.8065,3763.4409,31.12,f010 ap030 ac
-420.4152,-352.0121,261.923,457.2899,1.4606595,12.557112,108.23493,176.75165,107.95347,176.72256,52.496481,50.087643,49.490493,43.787427,41.071693,2150.5376,2688.172,4838.7097,5376.3441,6451.6129,162.12673,103.13281,78.455665,58.618402,57.42955,1075.2688,1612.9032,2688.172,3225.8065,4838.7097,56.03,f025 ap030 ac
-246.5789,-600.2223,310.1238,827.338,9.8844887,4.3639477,112.23837,421.06722,112.37343,419.96253,83.614812,59.207386,58.741024,54.087149,44.98426,1612.9032,4301.0753,4838.7097,5376.3441,5913.9785,445.31587,281.01436,177.18814,139.1562,85.060423,1612.9032,2150.5376,2688.172,3225.8065,3763.4409,55.7,f025 ap030 ac
-196.4163,-688.1418,176.4232,665.7601,0.80871397,20.209685,92.666705,383.46466,92.422139,382.97159,71.478258,53.412929,48.90056,35.779362,30.161517,1075.2688,1612.9032,2150.5376,4301.0753,5376.3441,477.77004,191.21263,109.03453,90.604577,50.75601,1075.2688,1612.9032,2150.5376,3225.8065,3763.4409,55.12,f025 ap030 ac
-172.8904,-503.5402,140.7422,391.5189,-10.387512,8.0802727,77.250134,217.30017,77.74041,216.86895,63.793025,42.554942,41.843691,35.103176,21.948717,2150.5376,3763.4409,4301.0753,4838.7097,6989.2473,198.55898,147.98684,103.52613,96.038399,62.266465,1075.2688,1612.9032,2150.5376,3225.8065,6451.6129,51.87,f025 ap030 ac
-170.1177,-613.3919,212.4898,562.8879,-7.0513659,-12.663706,73.33361,311.52469,73.476403,310.9486,43.301948,41.426146,39.5096,33.555903,28.445524,1612.9032,3763.4409,4301.0753,5376.3441,5913.9785,360.15517,196.20515,94.95467,68.083033,63.684973,1075.2688,1612.9032,3225.8065,3763.4409,4301.0753,55.33,f025 ap030 ac
-205.1797,-687.1734,131.0433,912.5642,-22.001248,-1.4989898,70.64566,438.28282,73.811756,437.11194,58.878366,30.331422,30.159288,27.057373,25.788026,2688.172,4301.0753,5376.3441,5913.9785,7526.8817,592.84579,119.663,101.31689,51.85793,42.125541,1075.2688,1612.9032,2150.5376,2688.172,3225.8065,55.55,f025 ap030 ac
